Specific Product Name,Brand,Price Range,General Product Name (productId),Product Category,Product Link,Affiliate Link,isDefault?,isRecommended?
Vanicream Facial Cleanser,Vanicream,$10-20,Creamy Cleanser,Cleanser,https://www.vanicream.com/product/vanicream-facial-cleanser,https://amzn.to/4ndhI0L,TRUE,FALSE
Toleriane Hydrating Gentle Cleanser,Laroche Posay,$10-20,Creamy Cleanser,Cleanser,https://www.dermstore.com/p/la-roche-posay-toleriane-hydrating-gentle-cleanser-400ml/11429066,https://amzn.to/42HmhZQ,FALSE,FALSE
TrueCider Creamy Face Cleanser for Sensitive Skin,Cheryl Lee MD Sensitive Skincare,$35-65,Creamy Cleanser,Cleanser,https://cherylleemd.com/products/truecider-creamy-face-cleanser,https://amzn.to/4hdqrP7,FALSE,TRUE
UltraCalming Cleanser,Dermalogica,$65+,Creamy Cleanser,Cleanser,https://www.dermalogica.com/products/ultracalming-cleanser?variant=36070254936216&redirect=false&igaag=&igaat=pla&igacm=17674125984&igacr=&igakw=&igamt=&igant=x&g_acctid=529-936-8876&g_adgroupid=&g_adid=&g_adtype=none&g_campaign=Performance-Max_Cleansers_CN_GFF&g_campaignid=17674125984&g_keyword=&g_keywordid=&g_network=x&g_type=shopping&gclsrc=aw.ds&utm_campaign=Performance-Max_Cleansers_CN_GFF&campaign_category=pmax&gad_source=1&gad_campaignid=17675039422&gbraid=0AAAAADvbnb-43n7c66VdW02zwCbTvfGJB&gclid=CjwKCAjw3tzHBhBREiwAlMJoUtJIytDh_pTy8VqeahsSPk17XCcabvUD60oBTojRpH-q3ykYQNBjaxoCC70QAvD_BwE&selling_plan=3950411928,https://amzn.to/4owCkC2,FALSE,FALSE
Hydrating Facial Cleanser,Cerave,$10-20,Gel Cleanser,Cleanser,https://www.cerave.com/skincare/cleansers/hydrating-facial-cleanser,https://amzn.to/4qcsrLq,TRUE,TRUE
Toleriane Hydrating Gentle Cleanser,Laroche Posay,$10-20,Gel Cleanser,Cleanser,https://www.laroche-posay.us/our-products/face/face-wash/toleriane-hydrating-gentle-facial-cleanser-tolerianehydratinggentlefacialcleanser.html,https://amzn.to/42HmhZQ,FALSE,FALSE
Foaming Facial Cleanser,Cerave,$10-20,Gel Cleanser,Cleanser,https://www.amazon.com/CeraVe-Hyaluronic-Ceramides-Niacinamide-Non-Drying/dp/B07RJ18VMF/ref=sr_1_1?crid=39DP0YOPK7T2W&dib=eyJ2IjoiMSJ9.Q7vbUy9ZNlOvxPxTpxYUMQVsaFf75dlKgEguMoycJfCTvvkXRUr_XH2B29aor0xWkO56gMqZbtDAaDo5k_j1DIL8hQFfwgYLqsCbgMe7HrclUH8I45gmkqd-R9FxSc_75XqagoU8daSQZs4UCeEflZcgxBwgjniioL5YIQIYYoPlUfF_h04j9WZCSetU2LwLOP4a7pXYAwaYf6B8oGAXptZDOsvCXsZX768s39qDgXqaPCtu8WLJ35Apj2_ygCloVoppQy99oubzQ4gUjPbj4L8DcrgCw5_KV6B81JDt9uY.NQBfPkFQdtanKirYPsnTUqSCp-URfcR6wT4vq4rP1zc&dib_tag=se&keywords=cerave%2Bfoaming&qid=1761104603&sprefix=cerave%2Bfoaming%2Caps%2C189&sr=8-1&th=1,https://amzn.to/48MxMmB,FALSE,FALSE
Clean Clean Gentle Gel Foaming Cleanser,Sophie Pavitt Face,$35-65,Gel Cleanser,Cleanser,https://www.sephora.com/product/clean-clean-gentle-gel-foaming-cleanser-P514513,,FALSE,FALSE
UltraCalming Cleanser,Dermalogica,$65+,Gel Cleanser,Cleanser,https://www.dermalogica.com/products/ultracalming-cleanser?variant=36070254936216&redirect=false&igaag=&igaat=pla&igacm=17674125984&igacr=&igakw=&igamt=&igant=x&g_acctid=529-936-8876&g_adgroupid=&g_adid=&g_adtype=none&g_campaign=Performance-Max_Cleansers_CN_GFF&g_campaignid=17674125984&g_keyword=&g_keywordid=&g_network=x&g_type=shopping&gclsrc=aw.ds&utm_campaign=Performance-Max_Cleansers_CN_GFF&campaign_category=pmax&gad_source=1&gad_campaignid=17675039422&gbraid=0AAAAADvbnb-43n7c66VdW02zwCbTvfGJB&gclid=CjwKCAjw3tzHBhBREiwAlMJoUtJIytDh_pTy8VqeahsSPk17XCcabvUD60oBTojRpH-q3ykYQNBjaxoCC70QAvD_BwE&selling_plan=3950411928,https://amzn.to/4owCkC2,,FALSE
Gleanser + Glycolic: Non-Drying Glycolic Acid Cleanser,Prequel Skin,$10-20,Active Cleanser,Cleanser,https://prequelskin.com/products/gleanser-glycerin-and-glycolic-acid-cleanser,,TRUE,FALSE
